Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
PLW,Invesco 1-30 Laddered Treasury ETF,31.85,154472500.0,,,,,https://www.nasdaq.com/symbol/plw,
ADRA,Invesco BLDRS Asia 50 ADR Index Fund,32.4959,21122335.0,,,,,https://www.nasdaq.com/symbol/adra,
ADRD,Invesco BLDRS Developed Markets 100 ADR Index Fund,22.5558,59772870.0,,,,,https://www.nasdaq.com/symbol/adrd,
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,40.3828,149416360.0,,,,,https://www.nasdaq.com/symbol/adre,
ADRU,Invesco BLDRS Europe Select ADR Index Fund,21.9101,16432575.0,,,,,https://www.nasdaq.com/symbol/adru,
PKW,Invesco BuyBack Achievers ETF,60.51,1285837500.0,,,,,https://www.nasdaq.com/symbol/pkw,
PFM,Invesco Dividend Achievers ETF,27.2,300560000.0,,,,,https://www.nasdaq.com/symbol/pfm,
PYZ,Invesco DWA Basic Materials Momentum ETF,69.36,100572000.0,,,,,https://www.nasdaq.com/symbol/pyz,
PEZ,Invesco DWA Consumer Cyclicals Momentum ETF,59.25,74062500.0,,,,,https://www.nasdaq.com/symbol/pez,
PSL,Invesco DWA Consumer Staples Momentum ETF,72.4,137560000.0,,,,,https://www.nasdaq.com/symbol/psl,
PIZ,Invesco DWA Developed Markets Momentum ETF,28.09,254214500.0,,,,,https://www.nasdaq.com/symbol/piz,
PIE,Invesco DWA Emerging Markets Momentum ETF,18.98,264771000.0,,,,,https://www.nasdaq.com/symbol/pie,
PXI,Invesco DWA Energy Momentum ETF,43.3022,138567040.0,,,,,https://www.nasdaq.com/symbol/pxi,
PFI,Invesco DWA Financial Momentum ETF,35.493,40816950.0,,,,,https://www.nasdaq.com/symbol/pfi,
PTH,Invesco DWA Healthcare Momentum ETF,93.51,271179000.0,,,,,https://www.nasdaq.com/symbol/pth,
PRN,Invesco DWA Industrials Momentum ETF,64.3599,119065815.0,,,,,https://www.nasdaq.com/symbol/prn,
DWLV,Invesco DWA Momentum & Low Volatility Rotation ETF,33.7851,43920663.7851,,,,,https://www.nasdaq.com/symbol/dwlv,
PDP,Invesco DWA Momentum ETF,58.69,1622778500.0,,,,,https://www.nasdaq.com/symbol/pdp,
DWAQ,Invesco DWA NASDAQ Momentum ETF,116.08,58040000.0,,,,,https://www.nasdaq.com/symbol/dwaq,
DWAS,Invesco DWA SmallCap Momentum ETF,57.79,439204000.0,,,,,https://www.nasdaq.com/symbol/dwas,
DWIN,Invesco DWA Tactical Multi-Asset Income ETF,25.48,64974025.48,,,,,https://www.nasdaq.com/symbol/dwin,
DWTR,Invesco DWA Tactical Sector Rotation ETF,31.76,87340031.76,,,,,https://www.nasdaq.com/symbol/dwtr,
PTF,Invesco DWA Technology Momentum ETF,66.59,153157000.0,,,,,https://www.nasdaq.com/symbol/ptf,
PUI,Invesco DWA Utilities Momentum ETF,28.94,41963000.0,,,,,https://www.nasdaq.com/symbol/pui,
IDLB,Invesco FTSE International Low Beta Equal Weight ETF,29.17,119597029.17,,,,,https://www.nasdaq.com/symbol/idlb,
PRFZ,Invesco FTSE RAFI US 1500 Small-Mid ETF,145.42,2115861000.0,,,,,https://www.nasdaq.com/symbol/prfz,
PAGG,Invesco Global Agriculture ETF,27.1,20325000.0,,,,,https://www.nasdaq.com/symbol/pagg,
PSAU,Invesco Global Gold and Precious Metals ETF,15.72,29868000.0,,,,,https://www.nasdaq.com/symbol/psau,
PIO,Invesco Global Water ETF,25.45,180695000.0,,,,,https://www.nasdaq.com/symbol/pio,
PGJ,Invesco Golden Dragon China ETF,39.86,215244000.0,,,,,https://www.nasdaq.com/symbol/pgj,
PEY,Invesco High Yield Equity Dividend Achievers ETF,18.09,783297000.0,,,,,https://www.nasdaq.com/symbol/pey,
IPKW,Invesco International BuyBack Achievers ETF,34.71,298506000.0,,,,,https://www.nasdaq.com/symbol/ipkw,
PID,Invesco International Dividend Achievers ETF,15.97,799298500.0,,,,,https://www.nasdaq.com/symbol/pid,
KBWB,Invesco KBW Bank ETF,57.0,1017450000.0,,,,,https://www.nasdaq.com/symbol/kbwb,
KBWD,Invesco KBW High Dividend Yield Financial ETF,23.55,342652500.0,,,,,https://www.nasdaq.com/symbol/kbwd,
KBWY,Invesco KBW Premium Yield Equity REIT ETF,35.45,434262500.0,,,,,https://www.nasdaq.com/symbol/kbwy,
KBWP,Invesco KBW Property & Casualty Insurance ETF,63.551,66728550.0,,,,,https://www.nasdaq.com/symbol/kbwp,
KBWR,Invesco KBW Regional Banking ETF,59.5932,196657560.0,,,,,https://www.nasdaq.com/symbol/kbwr,
LDRI,Invesco LadderRite 0-5 Year Corporate Bond ETF,24.5401,12270050.0,,,,,https://www.nasdaq.com/symbol/ldri,
LALT,Invesco Multi-Strategy Alternative ETF,21.8487,4369740.0,,,,,https://www.nasdaq.com/symbol/lalt,
PNQI,Invesco Nasdaq Internet ETF,136.77,670173000.0,,,,,https://www.nasdaq.com/symbol/pnqi,
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ET,17.97,2100764880.0,,,,,https://www.nasdaq.com/symbol/pdbc,
QQQ,"Invesco QQQ Trust, Series 1",182.48,71075960000.0,,,,,https://www.nasdaq.com/symbol/qqq,
USLB,Invesco Russell 1000 Low Beta Equal Weight ETF,33.1149,163918788.1149,,,,,https://www.nasdaq.com/symbol/uslb,
PSCD,Invesco S&P SmallCap Consumer Discretionary ETF,71.49,92937000.0,,,,,https://www.nasdaq.com/symbol/pscd,
PSCC,Invesco S&P SmallCap Consumer Staples ETF,85.58,89859000.0,,,,,https://www.nasdaq.com/symbol/pscc,
PSCE,Invesco S&P SmallCap Energy ETF,16.6,62250000.0,,,,,https://www.nasdaq.com/symbol/psce,
PSCF,Invesco S&P SmallCap Financials ETF,60.2,270900000.0,,,,,https://www.nasdaq.com/symbol/pscf,
PSCH,Invesco S&P SmallCap Health Care ETF,141.35,1074260000.0,,,,,https://www.nasdaq.com/symbol/psch,
PSCI,Invesco S&P SmallCap Industrials ETF,74.86,153463000.0,,,,,https://www.nasdaq.com/symbol/psci,
PSCT,Invesco S&P SmallCap Information Technology ETF,88.01,462052500.0,,,,,https://www.nasdaq.com/symbol/psct,
PSCM,Invesco S&P SmallCap Materials ETF,55.19,30354500.0,,,,,https://www.nasdaq.com/symbol/pscm,
